bact,phage,dil,count,dil_fact,den,lden,bact_time,block
b5.17,isp,100000,18,200,360000000,8.556302501,b5,2
b5.18,isp,100000,18,200,360000000,8.556302501,b5,2
b5.19,isp,100000,15,200,300000000,8.477121255,b5,2
b5.20,isp,100000,16,200,320000000,8.505149978,b5,2
b5.21,isp,100000,21,200,420000000,8.62324929,b5,2
b5.22,isp,100000,12,200,240000000,8.380211242,b5,2
b5.23,isp,100000,15,200,300000000,8.477121255,b5,2
b5.24,isp,NA,NA,200,NA,NA,b5,2
b5.9,3b,NA,NA,200,NA,NA,b5,2
b5.10,3b,NA,NA,200,NA,NA,b5,2
b5.11,3b,NA,NA,200,NA,NA,b5,2
b5.12,3b,NA,NA,200,NA,NA,b5,2
b5.13,3b,100000,16,200,320000000,8.505149978,b5,2
b5.14,3b,100000,11,200,220000000,8.342422681,b5,2
b5.15,3b,NA,NA,200,NA,NA,b5,2
b5.16,3b,NA,NA,200,NA,NA,b5,2
b5.17,3b,1000000,3,200,600000000,8.77815125,b5,2
b5.18,3b,100000,27,200,540000000,8.73239376,b5,2
b5.19,3b,100000,30,200,600000000,8.77815125,b5,2
b5.20,3b,1000000,2,200,400000000,8.602059991,b5,2
b5.21,3b,NA,NA,200,NA,NA,b5,2
b5.22,3b,NA,NA,200,NA,NA,b5,2
b5.23,3b,1000000,5,200,1000000000,9,b5,2
b5.24,3b,NA,NA,200,NA,NA,b5,2
b5.9,4b,NA,NA,200,NA,NA,b5,2
b5.10,4b,NA,NA,200,NA,NA,b5,2
b5.11,4b,NA,NA,200,NA,NA,b5,2
b5.12,4b,NA,NA,200,NA,NA,b5,2
b5.13,4b,100000,12,200,240000000,8.380211242,b5,2
b5.14,4b,100000,46,200,920000000,8.963787827,b5,2
b5.15,4b,100000,33,200,660000000,8.819543936,b5,2
b5.16,4b,100000,33,200,660000000,8.819543936,b5,2
b5.17,4b,1000000,7,200,1400000000,9.146128036,b5,2
b5.18,4b,100000,29,200,580000000,8.763427994,b5,2
b5.19,4b,NA,NA,200,NA,NA,b5,2
b5.20,4b,100000,15,200,300000000,8.477121255,b5,2
b5.21,4b,NA,NA,200,NA,NA,b5,2
b5.22,4b,NA,NA,200,NA,NA,b5,2
b5.23,4b,1000000,1,200,200000000,8.301029996,b5,2
b5.24,4b,NA,NA,200,NA,NA,b5,2
