treat,treat2,rep,time,count,dil,dil_fact,den,lden
clone1,clone,1,t6,14,1000,333.3333333,4666666.667,6.669006781
clone1,clone,2,t6,14,1000,333.3333333,4666666.667,6.669006781
clone1,clone,3,t6,5,1000,333.3333333,1666666.667,6.22184875
clone1,clone,4,t6,11,1000,333.3333333,3666666.667,6.56427143
clone1,clone,5,t6,5,1000,333.3333333,1666666.667,6.22184875
clone1,clone,6,t6,11,1000,333.3333333,3666666.667,6.56427143
clone2,clone,1,t6,13,1000,333.3333333,4333333.333,6.636822098
clone2,clone,2,t6,13,1000,333.3333333,4333333.333,6.636822098
clone2,clone,3,t6,25,100000,333.3333333,833333333.3,8.920818754
clone2,clone,4,t6,16,1000,333.3333333,5333333.333,6.726998728
clone2,clone,5,t6,6,10000,333.3333333,20000000,7.301029996
clone2,clone,6,t6,1,10000,333.3333333,3333333.333,6.522878745
clone3,clone,1,t6,1,10000,333.3333333,3333333.333,6.522878745
clone3,clone,2,t6,10,1000,333.3333333,3333333.333,6.522878745
clone3,clone,3,t6,18,1000,333.3333333,6000000,6.77815125
clone3,clone,4,t6,14,1000,333.3333333,4666666.667,6.669006781
clone3,clone,5,t6,7,1000,333.3333333,2333333.333,6.367976785
clone3,clone,6,t6,88,10000,333.3333333,293333333.3,8.467361417
clone4,clone,1,t6,1,10000,333.3333333,3333333.333,6.522878745
clone4,clone,2,t6,2,1000,333.3333333,666666.6667,5.823908741
clone4,clone,3,t6,112,10000,333.3333333,373333333.3,8.572096768
clone4,clone,4,t6,68,100,333.3333333,2266666.667,6.355387658
clone4,clone,5,t6,47,100,333.3333333,1566666.667,6.194976603
clone4,clone,6,t6,38,100,333.3333333,1266666.667,6.102662342
mix,mix,1,t6,30,10000,333.3333333,100000000,8
mix,mix,2,t6,10,10000,333.3333333,33333333.33,7.522878745
mix,mix,3,t6,8,10000,333.3333333,26666666.67,7.425968732
mix,mix,4,t6,74,10000,333.3333333,246666666.7,8.392110465
mix,mix,5,t6,7,1000,333.3333333,2333333.333,6.367976785
mix,mix,6,t6,23,1000,333.3333333,7666666.667,6.884606581
mix,mix,7,t6,11,1000,333.3333333,3666666.667,6.56427143
mix,mix,8,t6,2,10,333.3333333,6666.666667,3.823908741
mix,mix,9,t6,16,100,333.3333333,533333.3333,5.726998728
mix,mix,10,t6,52,10000,333.3333333,173333333.3,8.238882089
mix,mix,11,t6,7,10000,333.3333333,23333333.33,7.367976785
mix,mix,12,t6,9,10000,333.3333333,30000000,7.477121255
